TREE_COMPOSITE_ID,PLOT_COMPOSITE_ID,SPCD,PLOT,SUBP,COUNTYCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,TREE_CN,COND_CN,CONDID,STATUSCD,DIA,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,DAMAGE_AGENT_CD1,DAMAGE_AGENT_CD2,DAMAGE_AGENT_CD3,AGENTCD,PREV_STATUS_CD,ADFORCD,TREESALL,TOTALDEAD,DEADPROP
16_3_59_82511_2_13,16_3_59_82511,101,82511,2,59,16,11807094010690,2006,2,2006,11807123010690,11807097010690,1,1,1.4,1,45.161869,-114.016037,120.0483,24,0,NA,NA,NA,NA,NA,700,248.0327,45,132,1,NA,74.965282,NA,NA,NA,NA,NA,NA,413,16,5,0.3125
16_3_59_82511_4_11,16_3_59_82511,101,82511,4,59,16,11807094010690,2006,2,2006,11807149010690,11807097010690,1,1,7,1,45.161869,-114.016037,120.0483,24,0,NA,NA,NA,NA,NA,700,248.0327,45,132,1,NA,6.018046,NA,0,NA,NA,NA,NA,413,16,5,0.3125
16_3_43_87729_3_7,16_3_43_87729,101,87729,3,43,16,40390214010690,2012,2,2012,195364126020004,195364090020004,1,2,15.3,1,44.526852,-111.441277,171.0027,38,0,NA,0,NA,0,NA,735,257.9042,11,74,1,NA,6.018046,NA,NA,NA,NA,NA,NA,415,11,3,0.2727272727272727
16_3_59_80428_4_2,16_3_59_80428,101,80428,4,59,16,37276032010690,2010,2,2010,42524947010690,42524938010690,2,2,16.2,1,44.544817,-113.529264,10.2215,23,10,2009,0,NA,0,NA,735,32.6305,32,248,0.25,NA,6.018046,NA,NA,NA,NA,NA,NA,413,3,3,1
16_3_59_80760_2_4,16_3_59_80760,101,80760,2,59,16,40390796010690,2012,2,2012,195374226020004,195374207020004,1,2,8.6,1,44.676841,-114.478766,3.296,NA,30,2007,0,NA,0,NA,735,6.8828,60,290,1,NA,6.018046,2007,NA,NA,NA,30,NA,413,13,12,0.9230769230769231
16_3_59_81122_3_2,16_3_59_81122,101,81122,3,59,16,40390797010690,2012,2,2012,195374287020004,195374278020004,1,2,12.9,1,44.671086,-113.780343,118.1767,30,12,9999,0,NA,0,NA,595,152.9235,60,115,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,7,6,0.8571428571428571
16_3_25_86221_3_17,16_3_25_86221,101,86221,3,25,16,31357217010690,2008,2,2008,31357269010690,31357220010690,1,2,11.4,1,43.653294,-115.016136,98.0384,34,0,NA,NA,NA,NA,NA,735,224.136,85,328,0.75,NA,6.018046,NA,NA,NA,NA,NA,NA,414,4,2,0.5
16_3_25_87808_2_1,16_3_25_87808,101,87808,2,25,16,12273251010690,2007,2,2007,12273273010690,12273255010690,2,1,5,1,43.787459,-114.770215,66.6228,27,95,9999,0,NA,NA,NA,470,182.6216,52,210,0.25,NA,6.018046,NA,41008,0,NA,NA,NA,414,12,5,0.4166666666666667
16_3_37_81139_2_4,16_3_37_81139,101,81139,2,37,16,40389976010690,2011,2,2012,51038169020004,51038134020004,1,2,8.9,1,44.4192,-114.689695,134.8407,36,10,9999,0,NA,0,NA,595,252.211,38,241,1,NA,6.018046,NA,NA,NA,NA,NA,NA,413,28,27,0.9642857142857143
16_3_37_82396_1_12,16_3_37_82396,101,82396,1,37,16,5384029010690,2005,2,2005,5384052010690,5384032010690,1,1,5.4,1,44.369969,-114.680818,95.6412,28,10,2002,0,NA,NA,NA,735,187.8958,45,287,1,NA,6.018046,NA,0,NA,NA,NA,NA,413,16,0,0
