PLOT,SPCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,COND_CN,CONDID,STATUSCD,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,ADFORCD,TREESALL,TOTALDEAD,DEADPROP,INSECT,DISEASE,FIRE,disturbance_type
88240,101,16,35371122010690,2009,2,2009,39508673010690,1,1,1,44.199356,-115.192244,161.9647,44,0,NA,NA,NA,NA,NA,735,266.6439,28,15,1,NA,74.965282,NA,402,2,0,0,0,0,0,None
88256,101,16,40390521010690,2011,2,2011,51046332020004,1,1,1,45.335801,-116.560553,130.7919,23,0,NA,0,NA,0,NA,670,208.4931,82,12,0.75,NA,6.018046,NA,616,6,3,0.5,0,0,0,None
88257,101,16,35371621010690,2009,2,2009,39515533010690,1,1,1,43.91593,-114.496261,181.4911,26,10,9999,0,NA,NA,NA,670,366.2623,30,87,0.75,NA,74.965282,NA,414,4,0,0,1,0,0,INSECT
88271,101,16,5390721010690,2005,2,2005,5390724010690,1,1,1,45.195441,-115.914071,81.0528,37,0,NA,NA,NA,NA,NA,700,162.7365,65,140,1,NA,6.018046,NA,412,9,1,0.1111111111111111,0,0,0,None
88292,101,16,12284595010690,2007,2,2007,12284599010690,2,1,1,44.40061,-112.943009,101.8769,36,0,NA,NA,NA,NA,NA,595,167.581,8,289,0.25,NA,6.018046,NA,415,1,0,0,0,0,0,None
88302,101,16,35371640010690,2009,2,2009,39515595010690,1,2,1,44.540999,-115.210991,37.3539,23,0,NA,NA,NA,NA,NA,735,72.1828,62,79,1,NA,6.018046,2007,413,1,1,1,0,0,0,None
88309,101,16,37275932010690,2010,2,2010,42518489010690,1,1,1,45.286058,-116.238698,219.4255,55,0,NA,0,NA,0,NA,670,311.5913,10,160,1,NA,6.018046,NA,412,2,0,0,0,0,0,None
88314,101,16,4724735010690,2004,2,2004,4724738010690,1,2,1,44.451226,-114.550811,143.7967,25,0,NA,NA,NA,NA,NA,595,209.8981,50,176,1,NA,6.018046,NA,413,21,10,0.47619047619047616,0,0,0,None
88329,101,16,40390058010690,2013,2,2013,273505100489998,1,1,1,43.909735,-114.382399,62.1115,20,0,NA,0,NA,0,NA,470,138.1009,53,45,1,NA,74.965282,NA,413,22,3,0.13636363636363635,0,0,0,None
88344,101,16,40390464010690,2013,2,2013,273530209489998,1,1,1,45.678499,-114.824325,4.3276,29,0,NA,0,NA,0,NA,700,8.511,30,303,1,NA,6.018046,NA,103,2,1,0.5,0,0,0,None
88357,101,16,31366568010690,2008,2,2008,31366571010690,1,2,1,46.106579,-114.486099,50.3704,26,12,9999,20,9999,0,NA,735,100.7851,36,21,1,NA,6.018046,NA,117,2,2,1,1,0,0,INSECT
88361,101,16,40390525010690,2011,2,2011,51046482020004,1,1,1,45.329071,-115.848272,120.1739,49,0,NA,0,NA,0,NA,700,212.1449,40,191,1,NA,6.018046,NA,412,4,0,0,0,0,0,None
88364,101,16,40389403010690,2012,2,2013,272347255489998,1,2,1,48.206304,-116.051248,71.4111,17,0,NA,0,NA,0,NA,735,108.3237,85,330,0.25,NA,6.018046,NA,104,2,2,1,0,0,0,None
