...1,TREE_COMPOSITE_ID,PLOT_COMPOSITE_ID,SPCD,PLOT,SUBP,COUNTYCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,TREE_CN,COND_CN,CONDID,STATUSCD,DIA,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,DAMAGE_AGENT_CD1,DAMAGE_AGENT_CD2,DAMAGE_AGENT_CD3,AGENTCD,PREV_STATUS_CD,ADFORCD
18443,16_1_49_87903_3_3,16_1_49_87903,108,87903,3,49,16,31366129010690,2008,2,2008,31366175010690,31366132010690,1,1,6.3,1,45.58022,-115.827821,134.0322,40,0,NA,NA,NA,NA,NA,700,281.7884,20,240,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
18803,16_1_35_87217_3_13,16_1_35_87217,108,87217,3,35,16,35371509010690,2009,2,2010,42490773010690,42490724010690,1,2,9.3,1,46.675276,-115.49951,90.8389,67,0,NA,0,NA,0,NA,700,156.3447,15,209,1,NA,6.018046,NA,NA,NA,NA,NA,NA,105
18848,16_1_35_88829_3_8,16_1_35_88829,108,88829,3,35,16,35371506010690,2009,2,2009,39513963010690,39513942010690,1,1,5.5,1,46.712416,-114.844794,57.1832,40,10,2007,0,NA,NA,NA,735,123.1499,44,333,0.75,NA,6.018046,NA,0,NA,NA,NA,NA,105
18983,16_1_49_82055_3_17,16_1_49_82055,108,82055,3,49,16,35371888010690,2009,2,2009,39517861010690,39517801010690,1,1,10.1,1,45.695221,-116.094698,177.4148,55,0,NA,NA,NA,NA,NA,670,334.6209,20,320,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
19163,16_1_49_83886_4_20,16_1_49_83886,108,83886,4,49,16,35371890010690,2009,2,2009,39518684010690,39518611010690,1,1,7.2,1,45.688446,-115.258411,89.5301,45,0,NA,NA,NA,NA,NA,700,188.749,15,170,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
19298,16_1_49_85515_4_3,16_1_49_85515,108,85515,4,49,16,35371907010690,2009,2,2009,39519540010690,39519520010690,1,1,7.4,1,45.551469,-115.463519,35.7603,44,10,2004,0,NA,NA,NA,700,71.6624,30,130,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
19343,16_1_49_85742_3_4,16_1_49_85742,108,85742,3,49,16,35371949010690,2009,2,2010,42491437010690,42491376010690,1,2,7.9,1,46.372413,-115.159549,220.8315,63,0,NA,0,NA,0,NA,700,439.8026,16,301,1,NA,6.018046,NA,NA,NA,NA,NA,NA,105
19523,16_1_49_87144_3_6,16_1_49_87144,108,87144,3,49,16,35371895010690,2009,2,2009,39520217010690,39520175010690,1,1,10,1,45.642236,-115.978386,169.7929,55,46,2009,0,NA,NA,NA,700,289.7786,25,150,1,NA,6.018046,NA,22000,90005,0,NA,NA,117
19883,16_1_49_82055_4_12,16_1_49_82055,108,82055,4,49,16,35371888010690,2009,2,2009,39517880010690,39517801010690,1,1,11.8,1,45.695221,-116.094698,177.4148,55,0,NA,NA,NA,NA,NA,670,334.6209,20,320,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
19973,16_1_49_87144_2_8,16_1_49_87144,108,87144,2,49,16,35371895010690,2009,2,2009,39520204010690,39520175010690,1,1,8.6,1,45.642236,-115.978386,169.7929,55,46,2009,0,NA,NA,NA,700,289.7786,25,150,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
