PLOT,PLOT_COMPOSITE_ID,COUNTYCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,COND_CN,CONDID,STATUSCD,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,ADFORCD,TREESALL,TOTALDEAD,DEADPROP,precip,temp,precip_scaled,temp_scaled,BALIVE_scaled
80525,16_1_49_80525,49,16,40390563010690,2011,2,2011,51047299020004,1,1,1,45.84402,-115.226549,-0.4008513886684741,58,10,2009,0,NA,0,NA,700,162.2895,38,264,1,NA,6.018046,NA,117,44,23,0.5227272727272727,-0.5194345555668544,-0.07248019703290552,-0.5194345555668544,-0.07248019703290552,-0.4008513886684741
80539,16_1_49_80539,49,16,31363073010690,2008,2,2008,31363076010690,1,1,1,46.618551,-114.65272,-0.9061164293104012,24,0,NA,NA,NA,NA,NA,735,137.9667,28,250,1,NA,6.018046,NA,105,12,1,0.08333333333333333,0.30597267368739767,-0.39453308807003434,0.30597267368739767,-0.39453308807003434,-0.9061164293104012
80543,16_1_49_80543,49,16,11801876010690,2006,2,2006,11801879010690,1,2,1,46.487181,-114.724212,-0.5795385247826416,48,0,NA,NA,NA,NA,NA,595,169.8903,50,265,1,NA,6.018046,NA,105,5,3,0.6,-0.4286026454893044,0.6087854999317034,-0.4286026454893044,0.6087854999317034,-0.5795385247826416
80544,16_1_49_80544,49,16,31363136010690,2008,2,2008,31363139010690,1,1,1,45.927263,-115.15564,2.721136476571182,60,0,NA,NA,NA,NA,NA,735,531.1716,40,280,1,NA,6.018046,NA,117,2,0,0,-0.2833477181762031,-0.20873351361827844,-0.2833477181762031,-0.20873351361827844,2.721136476571182
80582,16_1_49_80582,49,16,11801949010690,2006,2,2006,11801952010690,1,1,1,45.416434,-115.534097,0.6185480937536307,66,0,NA,NA,NA,NA,NA,450,199.9301,55,180,1,NA,6.018046,NA,117,5,1,0.2,-1.411430342932285,0.22479941741065587,-1.411430342932285,0.22479941741065587,0.6185480937536307
80617,16_1_49_80617,49,16,35371860010690,2009,2,2009,39517408010690,1,1,1,45.90161,-115.12875,-0.41408020085220726,51,0,NA,NA,NA,NA,NA,700,166.0955,55,75,1,NA,6.018046,NA,117,20,4,0.2,0.13821557260909545,-0.6918127025135957,0.13821557260909545,-0.6918127025135957,-0.41408020085220726
80654,16_1_49_80654,49,16,12278788010690,2007,2,2007,12278791010690,1,1,1,45.49976,-115.338867,-0.907312204097682,64,0,NA,NA,NA,NA,NA,595,94.2967,65,85,1,NA,6.018046,NA,117,12,1,0.08333333333333333,-1.5396254394883462,1.8660303206778834,-1.5396254394883462,1.8660303206778832,-0.907312204097682
80675,16_1_35_80675,35,16,12274889010690,2007,2,2007,12274892010690,1,2,1,46.539617,-115.243692,-0.2910851682567688,63,0,NA,NA,NA,NA,NA,700,155.4466,45,170,1,NA,6.018046,1999,105,38,22,0.5789473684210527,1.7269916557080642,0.008033099556564666,1.7269916557080642,0.00803309955656466,-0.2910851682567688
80707,16_1_49_80707,49,16,31703009010690,2005,2,2005,31703010010690,1,2,1,45.502964,-115.461594,0.3924713694339041,54,0,NA,NA,NA,NA,NA,595,248.6206,26,310,1,NA,6.018046,NA,117,18,6,0.3333333333333333,-1.3034882348800207,-0.6794260642168121,-1.3034882348800207,-0.6794260642168121,0.3924713694339041
80718,16_1_49_80718,49,16,12278825010690,2007,2,2007,12278828010690,1,1,1,46.035571,-114.678427,-0.029080578507345394,39,0,NA,NA,NA,NA,NA,700,220.9692,55,16,1,NA,6.018046,NA,117,35,18,0.5142857142857142,-0.09710048121271539,0.34247262889047725,-0.0971004812127154,0.34247262889047725,-0.02908057850734539
