...1,TREE_COMPOSITE_ID,PLOT_COMPOSITE_ID,SPCD,PLOT,SUBP,COUNTYCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,TREE_CN,COND_CN,CONDID,STATUSCD,DIA,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,DAMAGE_AGENT_CD1,DAMAGE_AGENT_CD2,DAMAGE_AGENT_CD3,AGENTCD,PREV_STATUS_CD,ADFORCD,TREESALL,TOTALDEAD,DEADPROP,precip,temp
55,16_1_35_82730_3_9,16_1_35_82730,108,82730,3,35,16,4722783010690,2004,2,2004,4722819010690,4722786010690,1,1,6.2,1,46.576014,-114.983579,116.013,58,0,NA,NA,NA,NA,NA,700,218.391,50,299,1,NA,6.018046,NA,0,NA,NA,NA,NA,105,36,5,0.1388888888888889,1309.7572021484375,4.909999847412109
56,16_1_35_82730_3_11,16_1_35_82730,108,82730,3,35,16,4722783010690,2004,2,2004,4722821010690,4722786010690,1,2,7.1,1,46.576014,-114.983579,116.013,58,0,NA,NA,NA,NA,NA,700,218.391,50,299,1,NA,6.018046,NA,NA,NA,NA,NA,NA,105,36,5,0.1388888888888889,1309.7572021484375,4.909999847412109
57,16_1_35_82730_3_13,16_1_35_82730,108,82730,3,35,16,4722783010690,2004,2,2004,4722822010690,4722786010690,1,1,5.9,1,46.576014,-114.983579,116.013,58,0,NA,NA,NA,NA,NA,700,218.391,50,299,1,NA,6.018046,NA,0,NA,NA,NA,NA,105,36,5,0.1388888888888889,1309.7572021484375,4.909999847412109
58,16_1_35_82730_3_14,16_1_35_82730,108,82730,3,35,16,4722783010690,2004,2,2004,4722823010690,4722786010690,1,1,6.8,1,46.576014,-114.983579,116.013,58,0,NA,NA,NA,NA,NA,700,218.391,50,299,1,NA,6.018046,NA,0,NA,NA,NA,NA,105,36,5,0.1388888888888889,1309.7572021484375,4.909999847412109
60,16_1_35_82730_3_15,16_1_35_82730,108,82730,3,35,16,4722783010690,2004,2,2004,4722824010690,4722786010690,1,1,6.7,1,46.576014,-114.983579,116.013,58,0,NA,NA,NA,NA,NA,700,218.391,50,299,1,NA,6.018046,NA,0,NA,NA,NA,NA,105,36,5,0.1388888888888889,1309.7572021484375,4.909999847412109
61,16_1_35_82730_4_1,16_1_35_82730,108,82730,4,35,16,4722783010690,2004,2,2004,4722826010690,4722786010690,1,1,6,1,46.576014,-114.983579,116.013,58,0,NA,NA,NA,NA,NA,700,218.391,50,299,1,NA,6.018046,NA,0,NA,NA,NA,NA,105,36,5,0.1388888888888889,1309.7572021484375,4.909999847412109
63,16_1_35_82730_4_4,16_1_35_82730,108,82730,4,35,16,4722783010690,2004,2,2004,4722829010690,4722786010690,1,1,10.2,1,46.576014,-114.983579,116.013,58,0,NA,NA,NA,NA,NA,700,218.391,50,299,1,NA,6.018046,NA,0,NA,NA,NA,NA,105,36,5,0.1388888888888889,1309.7572021484375,4.909999847412109
64,16_1_35_82730_4_5,16_1_35_82730,108,82730,4,35,16,4722783010690,2004,2,2004,4722830010690,4722786010690,1,1,9.9,1,46.576014,-114.983579,116.013,58,0,NA,NA,NA,NA,NA,700,218.391,50,299,1,NA,6.018046,NA,90005,0,NA,NA,NA,105,36,5,0.1388888888888889,1309.7572021484375,4.909999847412109
65,16_1_35_82730_4_6,16_1_35_82730,108,82730,4,35,16,4722783010690,2004,2,2004,4722831010690,4722786010690,1,1,8.8,1,46.576014,-114.983579,116.013,58,0,NA,NA,NA,NA,NA,700,218.391,50,299,1,NA,6.018046,NA,0,NA,NA,NA,NA,105,36,5,0.1388888888888889,1309.7572021484375,4.909999847412109
66,16_1_35_82730_4_10,16_1_35_82730,108,82730,4,35,16,4722783010690,2004,2,2004,4722834010690,4722786010690,1,1,7.1,1,46.576014,-114.983579,116.013,58,0,NA,NA,NA,NA,NA,700,218.391,50,299,1,NA,6.018046,NA,0,NA,NA,NA,NA,105,36,5,0.1388888888888889,1309.7572021484375,4.909999847412109
67,16_1_35_82730_4_12,16_1_35_82730,108,82730,4,35,16,4722783010690,2004,2,2004,4722836010690,4722786010690,1,1,5.5,1,46.576014,-114.983579,116.013,58,0,NA,NA,NA,NA,NA,700,218.391,50,299,1,NA,6.018046,NA,0,NA,NA,NA,NA,105,36,5,0.1388888888888889,1309.7572021484375,4.909999847412109
